Load,Method,Metric,Type,Value,Source
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,25.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,128.6,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,25.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,25.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,25.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,25.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,61.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,255.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,25.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,25.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.4,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,20.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,5.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.0,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,15.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
Light,SPR,delay,I,10.2,./gat-mappo/log/Abi_SHR_5000_lightload/delay_type0.log
